text,label
"Breaking: Government hiding truth, share immediately!",fake
"Shocking news! Doctors warn about dangerous cure",fake
"Urgent! This message will be deleted soon",fake
"You won’t believe what happened next!!!",fake
"Forward this to everyone you know now",fake
"Scientists discover new vaccine after years of research",real
"Government announces economic reforms in parliament",real
"New education policy focuses on skill development",real
"Health ministry releases official COVID-19 guidelines",real
"Researchers publish findings in international journal",real
"Experts say drinking water is essential for health",real
"Unbelievable secret leaked by insiders!!!",fake
"Act now before it’s too late!!!",fake
"Official report released by the finance ministry",real
"Study shows benefits of regular exercise",real
"Warning! This food can cause serious harm!!!",fake
"Police department issues public safety notice",real
"Breaking: miracle cure discovered, doctors shocked",fake
"NASA announces new space mission details",real
"Local government improves infrastructure development",real
"Breaking news! Secret formula exposed by scientists",fake
"Doctors hate this one simple trick for weight loss",fake
"Share this message before the government removes it",fake
"Miracle herb can cure diabetes instantly",fake
"Celebrity reveals shocking secret to become rich overnight",fake
"Urgent warning! Avoid drinking water after sunset",fake
"This hidden method can make anyone a millionaire",fake
"Scientists confirm humans can survive without sleep",fake
"Forward this to 20 people for good luck",fake
"Ancient remedy cures cancer naturally in one day",fake
"Government secretly tracking citizens through mobile towers",fake
"Breaking! Alien spaceship spotted near Earth",fake
"Magic drink melts belly fat within hours",fake
"Experts shocked after man reverses aging naturally",fake
"Secret military experiment leaked online",fake
"Doctors warn against fake viral health claims",real
"Indian Space Research Organisation launches weather satellite",real
"Researchers develop eco-friendly plastic alternative",real
"Supreme Court announces new legal reforms",real
"Health experts recommend balanced diet and exercise",real
"Scientists publish climate change research findings",real
"Finance ministry releases annual economic survey",real
"University introduces new artificial intelligence course",real
"Police issue traffic advisory for holiday weekend",real
"WHO publishes report on global vaccination progress",real
"Government starts new digital education initiative",real
"Medical researchers study effects of air pollution",real
"Engineers develop low-cost solar energy solution",real
"National weather department predicts heavy rainfall",real
"Researchers discover new species in rainforest",real
"Cybersecurity experts warn about online scams",real
"Scientists study long-term effects of sleep deprivation",real
"Education ministry launches scholarship program",real
"Public health department releases safety guidelines",real
"New technology improves electric vehicle battery life",real
"Researchers test new methods for clean drinking water",real
"Scientists discover possible treatment for rare disease",real
"Government expands rural healthcare facilities",real
"Experts discuss renewable energy solutions at conference",real
"NASA shares images from latest Mars mission",real
"Breaking! Scientists reveal hidden danger in common medicine",fake
"Share immediately before this information gets removed",fake
"Miracle fruit burns fat without exercise",fake
"Government hiding cure for deadly disease",fake
"Experts stunned after shocking ancient discovery",fake
"You won't believe how this student became billionaire overnight",fake
"Secret hack allows unlimited free internet access",fake
